Remis|Remus
accomodating|accommodating
centred|centered
honouring|honoring
favourable|favorable
disorganised|disorganized
priviledge|privilege
marvellous|marvelous
organising|organizing
colour|color
colourful|colorful
harbour|harbor
hear then end of it|hear the end of it
pre-tence|pretense
retriving|retrieving
theatre|theater
fervour|fervor
thesedays|these days
aww-ing|awwing
tsked|tisked
coiffed|koyft
biryani|beeree-ah-neie
fathers'|fathers's
Merde|mair'd
Daaaa|Daaaah
owlish|owllish
Papaaaaa|Papa
manoevre|maneuver
patently|pattuhntlee
douchebag|douche-bag
A-a-around|ah ah around
devasting|devastating
Imperius|Impeerius
Imperiused|Impeeriused
Imperious|Impeerius
bitchy|bitchie
Bathilda|Buhthilda
tearoom|tea-room
sooty|sootty
Alohmora|alohomora
alohomora|alohamora
WOOHOOO|woowho
legged|leged
what'll|what will
N nothing|Nuh nothing
Lives here, actually|Livs here, actually
fruity_individual|fruity individual
Gr... fine|greh... fine
Mols|Molls
Fuuuuck|Fuck
Remus pl|Remus plea
cock-upied|cock-u-pied
trow|trouw
ne|knee
millimetre|milli-meter
F-fuck|Fuh-fuck
try uhn|try ungh
Krethes|Kreh-thes
Incarcero|Incarser-o
P\.S|PS
V\.\.\.Very|Very
Trewlaney|Trelawney
keyrings|key rings
keyring|key ring
Holyhead|Holly head
Toujurs Pur|Too-jour Pure
embarassed|embarrassed
omnipresent|omni-present
Y-Yes|Yes
Nyphadora|Nymphadora
growly|growl-lee
Azbakan|Azkaban
claustropohia|claustrophobia
judgmentally|judge-mentally
Grampie|Grampey
Remys|Remus
comer|commer
Quietlemonhush|Quiet lemon hush
thewholeofthemoon|the whole of the moon
Madam Maxim|Madam Maxime
merpeople|Myrrh people
gillyweed|gillie weed
Cosmas|Cosmahs
outrunning|out-running
Prongs'|Prongs's
unironic|un-ironic
Mulciber|mullsiber
OptimisticDinosaur|Optimistic Dinosaur
AandE|A and E
veeagainst|v against
ploughed|plowed
portkey|port key
Dementor|De-mentor
Dementors|De-mentors
eared|ear'd
ca\.|circa
schoolboy|school boy
Malfoy|Malfoi
Malfoys|Malfoi's
Malfoy's|Malfoi's
cousre|course
umm|um
Inferi|in-fear-e
candelabras|kanduhlaabruhz
candelabra|kanduhlaabruh
itchy|itch-e
